L,T,gamma,trapped_count,total_particles,efficiency,T_final_tilde,delta_T_tilde,absolute_delta_T_uK
1.3894952e+06,8714.286,1.5625,2000,2000,1.0,0.052872118,0.0028721169,0.2872117
1.3894952e+06,9357.144,1.5625,2000,2000,1.0,0.053806785,0.0038067847,0.38067847
1.3894952e+06,10000.0,1.5625,2000,2000,1.0,0.051296435,0.0012964346,0.12964346
1.9306971e+06,1000.0,1.5625,0,2000,0.0,nan,nan,nan
1.9306971e+06,1642.8572,1.5625,0,2000,0.0,nan,nan,nan
1.9306971e+06,2285.7144,1.5625,12,2000,0.006,0.00843431,-0.04156569,-4.156569
1.9306971e+06,2928.5715,1.5625,1804,2000,0.90200007,0.102307305,0.052307304,5.2307305
1.9306971e+06,3571.4287,1.5625,1999,2000,0.99950004,0.084970295,0.034970295,3.4970293
1.9306971e+06,4214.286,1.5625,2000,2000,1.0,0.06911325,0.019113246,1.9113245
1.9306971e+06,4857.143,1.5625,2000,2000,1.0,0.061701957,0.011701956,1.1701956
1.9306971e+06,5500.0005,1.5625,2000,2000,1.0,0.057763405,0.0077634044,0.7763404
1.9306971e+06,6142.8574,1.5625,2000,2000,1.0,0.056465752,0.0064657517,0.64657515
1.9306971e+06,6785.715,1.5625,2000,2000,1.0,0.05540147,0.0054014698,0.54014695
1.9306971e+06,7428.572,1.5625,2000,2000,1.0,0.054804746,0.0048047453,0.4804745
1.9306971e+06,8071.429,1.5625,2000,2000,1.0,0.055093378,0.005093377,0.50933766
1.9306971e+06,8714.286,1.5625,2000,2000,1.0,0.052813914,0.002813913,0.2813913
1.9306971e+06,9357.144,1.5625,2000,2000,1.0,0.054543264,0.0045432635,0.45432633
1.9306971e+06,10000.0,1.5625,2000,2000,1.0,0.05399524,0.0039952397,0.39952397
2.6826945e+06,1000.0,1.5625,0,2000,0.0,nan,nan,nan
2.6826945e+06,1642.8572,1.5625,0,2000,0.0,nan,nan,nan
2.6826945e+06,2285.7144,1.5625,0,2000,0.0,nan,nan,nan
2.6826945e+06,2928.5715,1.5625,399,2000,0.19950001,0.05117648,0.0011764802,0.11764801
2.6826945e+06,3571.4287,1.5625,1895,2000,0.94750005,0.100994565,0.050994564,5.0994563
2.6826945e+06,4214.286,1.5625,1999,2000,0.99950004,0.08623218,0.036232177,3.6232178
2.6826945e+06,4857.143,1.5625,2000,2000,1.0,0.07087807,0.020878073,2.0878072
2.6826945e+06,5500.0005,1.5625,2000,2000,1.0,0.06492111,0.01492111,1.492111
2.6826945e+06,6142.8574,1.5625,2000,2000,1.0,0.061208375,0.011208374,1.1208375
2.6826945e+06,6785.715,1.5625,2000,2000,1.0,0.058002725,0.0080027245,0.8002724
2.6826945e+06,7428.572,1.5625,2000,2000,1.0,0.057355992,0.0073559918,0.73559916
2.6826945e+06,8071.429,1.5625,2000,2000,1.0,0.05717263,0.0071726292,0.71726286
2.6826945e+06,8714.286,1.5625,2000,2000,1.0,0.053559445,0.003559444,0.3559444
2.6826945e+06,9357.144,1.5625,2000,2000,1.0,0.05513992,0.005139921,0.5139921
2.6826945e+06,10000.0,1.5625,2000,2000,1.0,0.053470504,0.0034705028,0.34705028
3.7275915e+06,1000.0,1.5625,0,2000,0.0,nan,nan,nan
3.7275915e+06,1642.8572,1.5625,0,2000,0.0,nan,nan,nan
3.7275915e+06,2285.7144,1.5625,0,2000,0.0,nan,nan,nan
3.7275915e+06,2928.5715,1.5625,0,2000,0.0,nan,nan,nan
3.7275915e+06,3571.4287,1.5625,753,2000,0.3765,0.071418114,0.021418113,2.1418114
3.7275915e+06,4214.286,1.5625,1897,2000,0.94850004,0.099549405,0.049549405,4.9549403
3.7275915e+06,4857.143,1.5625,1998,2000,0.9990001,0.08866427,0.03866427,3.866427
3.7275915e+06,5500.0005,1.5625,2000,2000,1.0,0.07470033,0.024700332,2.4700332
3.7275915e+06,6142.8574,1.5625,2000,2000,1.0,0.068168595,0.018168595,1.8168594
3.7275915e+06,6785.715,1.5625,2000,2000,1.0,0.06193828,0.011938278,1.1938277
3.7275915e+06,7428.572,1.5625,2000,2000,1.0,0.055867266,0.005867265,0.5867265
3.7275915e+06,8071.429,1.5625,2000,2000,1.0,0.059664086,0.009664085,0.9664085
3.7275915e+06,8714.286,1.5625,2000,2000,1.0,0.05742102,0.0074210204,0.742102
3.7275915e+06,9357.144,1.5625,2000,2000,1.0,0.054470275,0.004470274,0.44702736
3.7275915e+06,10000.0,1.5625,2000,2000,1.0,0.05402555,0.0040255487,0.40255487
5.1794705e+06,1000.0,1.5625,0,2000,0.0,nan,nan,nan
5.1794705e+06,1642.8572,1.5625,0,2000,0.0,nan,nan,nan
5.1794705e+06,2285.7144,1.5625,0,2000,0.0,nan,nan,nan
5.1794705e+06,2928.5715,1.5625,0,2000,0.0,nan,nan,nan
5.1794705e+06,3571.4287,1.5625,0,2000,0.0,nan,nan,nan
5.1794705e+06,4214.286,1.5625,764,2000,0.38200003,0.07239601,0.02239601,2.239601
5.1794705e+06,4857.143,1.5625,1842,2000,0.92100006,0.102691256,0.052691255,5.2691255
5.1794705e+06,5500.0005,1.5625,1994,2000,0.99700004,0.08932977,0.03932977,3.932977
5.1794705e+06,6142.8574,1.5625,2000,2000,1.0,0.08115783,0.031157833,3.1157832
5.1794705e+06,6785.715,1.5625,2000,2000,1.0,0.06980378,0.019803781,1.9803782
5.1794705e+06,7428.572,1.5625,2000,2000,1.0,0.06293119,0.012931187,1.2931187
5.1794705e+06,8071.429,1.5625,2000,2000,1.0,0.059881143,0.0098811425,0.98811424
5.1794705e+06,8714.286,1.5625,2000,2000,1.0,0.06147023,0.011470228,1.1470227
5.1794705e+06,9357.144,1.5625,2000,2000,1.0,0.059356567,0.009356566,0.93565655
5.1794705e+06,10000.0,1.5625,2000,2000,1.0,0.05384391,0.003843911,0.3843911
7.19685e+06,1000.0,1.5625,0,2000,0.0,nan,nan,nan
7.19685e+06,1642.8572,1.5625,0,2000,0.0,nan,nan,nan
7.19685e+06,2285.7144,1.5625,0,2000,0.0,nan,nan,nan
7.19685e+06,2928.5715,1.5625,0,2000,0.0,nan,nan,nan
7.19685e+06,3571.4287,1.5625,0,2000,0.0,nan,nan,nan
7.19685e+06,4214.286,1.5625,0,2000,0.0,nan,nan,nan
7.19685e+06,4857.143,1.5625,524,2000,0.26200002,0.054564167,0.004564166,0.45641658
7.19685e+06,5500.0005,1.5625,1695,2000,0.8475,0.09419687,0.04419687,4.419687
7.19685e+06,6142.8574,1.5625,1963,2000,0.9815,0.095761955,0.045761954,4.5761952
7.19685e+06,6785.715,1.5625,1999,2000,0.99950004,0.08756438,0.03756438,3.7564378
7.19685e+06,7428.572,1.5625,2000,2000,1.0,0.07814473,0.028144728,2.8144727
7.19685e+06,8071.429,1.5625,2000,2000,1.0,0.07240973,0.022409726,2.2409725
7.19685e+06,8714.286,1.5625,2000,2000,1.0,0.06685579,0.016855787,1.6855787
7.19685e+06,9357.144,1.5625,2000,2000,1.0,0.060494628,0.010494627,1.0494627
7.19685e+06,10000.0,1.5625,2000,2000,1.0,0.062232584,0.012232583,1.2232584
1e+07,1000.0,1.5625,0,2000,0.0,nan,nan,nan
1e+07,1642.8572,1.5625,0,2000,0.0,nan,nan,nan
1e+07,2285.7144,1.5625,0,2000,0.0,nan,nan,nan
1e+07,2928.5715,1.5625,0,2000,0.0,nan,nan,nan
1e+07,3571.4287,1.5625,0,2000,0.0,nan,nan,nan
1e+07,4214.286,1.5625,0,2000,0.0,nan,nan,nan
1e+07,4857.143,1.5625,0,2000,0.0,nan,nan,nan
1e+07,5500.0005,1.5625,175,2000,0.087500006,0.036199644,-0.013800357,-1.3800356
1e+07,6142.8574,1.5625,1258,2000,0.629,0.08369936,0.03369936,3.369936
1e+07,6785.715,1.5625,1857,2000,0.92850006,0.10459015,0.054590147,5.4590144
1e+07,7428.572,1.5625,1985,2000,0.99250007,0.10034184,0.05034184,5.034184
1e+07,8071.429,1.5625,1999,2000,0.99950004,0.08230418,0.03230418,3.230418
1e+07,8714.286,1.5625,2000,2000,1.0,0.07757436,0.027574357,2.7574356
1e+07,9357.144,1.5625,2000,2000,1.0,0.06900259,0.01900259,1.900259
1e+07,10000.0,1.5625,2000,2000,1.0,0.06634604,0.016346041,1.634604
